Time_Stamp,Open,High,Low,Close,Volume,TR0,TR1,TR2,TR,ATR,Upper_Bound,Lower_Bound,Final_Upper_Bound,Final_Lower_Bound,Super_Trend,Buy_Sell
6/11/2021 19:30,151.13,151.13,151.13,151.13,360,0,,,0,0,151.13,151.13,0,0,0,NA
6/11/2021 19:25,151.21,151.21,151.21,151.21,301,0,0.08,0.08,0.08,0.005714286,151.23,151.19,151.23,151.19,151.23,SELL
6/11/2021 18:50,151.1101,151.1101,151.1101,151.1101,400,0,0.0999,0.0999,0.1,0.01244898,151.15,151.07,151.15,151.19,151.15,SELL
6/11/2021 18:30,151.49,151.49,151.49,151.49,100,0,0.3799,0.3799,0.38,0.038702624,151.61,151.37,151.15,151.37,151.37,BUY
6/11/2021 18:25,151.44,151.44,151.44,151.44,200,0,0.05,0.05,0.05,0.039509579,151.56,151.32,151.56,151.37,151.37,BUY
6/11/2021 18:00,151.4,151.4,151.4,151.4,221,0,0.04,0.04,0.04,0.039544609,151.52,151.28,151.52,151.37,151.37,BUY
6/11/2021 17:55,151.28,151.28,151.28,151.28,1000,0,0.12,0.12,0.12,0.045291423,151.42,151.14,151.42,151.37,151.42,SELL
6/11/2021 16:55,151.17,151.17,151.17,151.17,292,0,0.11,0.11,0.11,0.049913464,151.32,151.02,151.32,151.02,151.32,SELL
6/11/2021 16:30,151.35,151.35,151.35,151.35,200,0,0.18,0.18,0.18,0.05920536,151.53,151.17,151.32,151.17,151.17,BUY
6/11/2021 16:10,151.28,151.28,151.28,151.28,4252,0,0.07,0.07,0.07,0.059976405,151.46,151.1,151.46,151.17,151.17,BUY
6/11/2021 16:05,151.28,151.28,151.28,151.28,115111,0,0,0,0,0.055692376,151.45,151.11,151.45,151.17,151.17,BUY
6/11/2021 16:00,151.11,151.35,151.03,151.3,165951,0.32,0.07,0.25,0.32,0.074571492,151.41,150.97,151.41,151.17,151.17,BUY
6/11/2021 15:55,151.15,151.24,151.06,151.1,68553,0.18,0.06,0.24,0.24,0.086387814,151.41,150.89,151.41,151.17,151.41,SELL
6/11/2021 15:50,151.215,151.24,151.13,151.13,46231,0.11,0.14,0.03,0.14,0.090217256,151.46,150.91,151.41,150.91,151.41,SELL
6/11/2021 15:45,151.125,151.235,151.12,151.21,33227,0.115,0.105,0.01,0.12,0.092344595,151.45,150.9,151.41,150.91,151.41,SELL
6/11/2021 15:40,151.165,151.185,151.115,151.13,36724,0.07,0.025,0.095,0.09,0.092177124,151.43,150.87,151.41,150.91,151.41,SELL
6/11/2021 15:35,151.08,151.19,151.0617,151.165,27635,0.1283,0.06,0.0683,0.13,0.094878758,151.41,150.84,151.41,150.91,151.41,SELL
6/11/2021 15:30,151.11,151.13,151.065,151.085,19379,0.065,0.035,0.1,0.1,0.095244561,151.38,150.81,151.38,150.91,151.38,SELL
6/11/2021 15:25,151.22,151.225,151.085,151.1,22989,0.14,0.14,0,0.14,0.098441378,151.45,150.86,151.38,150.91,151.38,SELL
6/11/2021 15:20,151.19,151.24,151.18,151.2256,26018,0.06,0.14,0.08,0.14,0.101409851,151.51,150.91,151.38,150.91,151.38,SELL
6/11/2021 15:15,151.15,151.21,151.15,151.1784,18151,0.06,0.0156,0.0756,0.08,0.099880576,151.48,150.88,151.38,150.91,151.38,SELL
6/11/2021 15:10,151.26,151.32,151.13,151.14,38924,0.19,0.1416,0.0484,0.19,0.106317678,151.54,150.91,151.38,150.91,151.38,SELL
6/11/2021 15:05,151.25,151.28,151.22,151.26,16281,0.06,0.14,0.08,0.14,0.108723558,151.58,150.92,151.38,150.92,151.38,SELL
6/11/2021 15:00,151.2375,151.26,151.19,151.2578,24372,0.07,0,0.07,0.07,0.105957589,151.54,150.91,151.38,150.92,151.38,SELL
6/11/2021 14:55,151.145,151.24,151.1101,151.2378,34678,0.1299,0.0178,0.1477,0.15,0.109103476,151.5,150.85,151.38,150.92,151.38,SELL
6/11/2021 14:50,151.2316,151.26,151.135,151.135,18671,0.125,0.0222,0.1028,0.12,0.109881799,151.53,150.87,151.38,150.92,151.38,SELL
6/11/2021 14:45,151.29,151.29,151.18,151.2382,21107,0.11,0.155,0.045,0.16,0.113461671,151.58,150.89,151.38,150.92,151.38,SELL
6/11/2021 14:40,151.2958,151.32,151.27,151.295,20344,0.05,0.0818,0.0318,0.08,0.111071551,151.63,150.96,151.38,150.96,151.38,SELL
6/11/2021 14:35,151.29,151.315,151.27,151.3,15231,0.045,0.02,0.025,0.04,0.105995012,151.61,150.97,151.38,150.97,151.38,SELL
6/11/2021 14:30,151.275,151.31,151.27,151.29,13010,0.04,0.01,0.03,0.04,0.101281082,151.59,150.99,151.38,150.99,151.38,SELL
6/11/2021 14:25,151.27,151.31,151.24,151.28,21852,0.07,0.02,0.05,0.07,0.099046719,151.57,150.98,151.38,150.99,151.38,SELL
6/11/2021 14:20,151.33,151.34,151.2649,151.27,25244,0.0751,0.06,0.0151,0.08,0.097686239,151.6,151.01,151.38,151.01,151.38,SELL
6/11/2021 14:15,151.33,151.35,151.3,151.33,20014,0.05,0.08,0.03,0.08,0.096422937,151.61,151.04,151.38,151.04,151.38,SELL
6/11/2021 14:10,151.27,151.34,151.22,151.3263,19169,0.12,0.01,0.11,0.12,0.098107013,151.57,150.99,151.38,151.04,151.38,SELL
6/11/2021 14:05,151.29,151.35,151.25,151.27,29708,0.1,0.0237,0.0763,0.1,0.098242226,151.59,151.01,151.38,151.04,151.38,SELL
6/11/2021 14:00,151.29,151.31,151.25,151.285,12298,0.06,0.04,0.02,0.06,0.095510638,151.57,150.99,151.38,151.04,151.38,SELL
6/11/2021 13:55,151.28,151.32,151.27,151.28,9348,0.05,0.035,0.015,0.05,0.092259879,151.57,151.02,151.38,151.04,151.38,SELL
6/11/2021 13:50,151.24,151.275,151.24,151.27,18864,0.035,0.005,0.04,0.04,0.08852703,151.52,150.99,151.38,151.04,151.38,SELL
6/11/2021 13:45,151.34,151.36,151.24,151.25,48824,0.12,0.09,0.03,0.12,0.090775099,151.57,151.03,151.38,151.04,151.38,SELL
6/11/2021 13:40,151.3277,151.45,151.3,151.33,31006,0.15,0.2,0.05,0.2,0.098576878,151.67,151.08,151.38,151.08,151.38,SELL
6/11/2021 13:35,151.27,151.4,151.258,151.34,22576,0.142,0.07,0.072,0.14,0.101535672,151.63,151.02,151.38,151.08,151.38,SELL
6/11/2021 13:30,151.33,151.355,151.25,151.29,24137,0.105,0.015,0.09,0.1,0.101425981,151.61,151,151.38,151.08,151.38,SELL
6/11/2021 13:25,151.29,151.4084,151.29,151.35,29712,0.1184,0.1184,0,0.12,0.102752697,151.66,151.04,151.38,151.08,151.38,SELL
